player,matches_played,total_runs,balls_faced,total_4s,total_6s,extras_given,runs_given,wickets_taken,overs_bowled,player_code
KS Williamson,73.0,2075.0,1679.0,182.0,63.0,0.0,31.0,0.0,3.0,377
Parvez Rasool,2.0,12.0,11.0,1.0,0.0,4.0,207.0,3.0,25.333333333333332,378
SA Abbott,3.0,22.0,18.0,1.0,2.0,5.0,104.0,1.0,9.833333333333334,379
J Suchith,9.0,70.0,62.0,6.0,3.0,19.0,604.0,20.0,72.33333333333333,380
RG More,1.0,2.0,2.0,0.0,0.0,6.0,63.0,1.0,6.166666666666667,381
HH Pandya,123.0,2453.0,1753.0,183.0,131.0,110.0,2118.0,69.0,239.5,382
D Wiese,11.0,148.0,105.0,12.0,7.0,19.0,447.0,17.0,51.166666666666664,383
SN Khan,35.0,583.0,455.0,63.0,14.0,0.0,6.0,0.0,0.3333333333333333,384
MJ McClenaghan,18.0,71.0,59.0,5.0,6.0,104.0,1665.0,72.0,204.16666666666666,385
DJ Muthuswami,1.0,1.0,3.0,0.0,0.0,7.0,108.0,4.0,14.0,386
PJ Cummins,38.0,504.0,352.0,33.0,33.0,117.0,1916.0,62.0,220.83333333333334,387
SN Thakur,32.0,307.0,225.0,27.0,13.0,143.0,2589.0,87.0,290.0,388
CR Brathwaite,13.0,161.0,112.0,10.0,13.0,21.0,367.0,16.0,42.333333333333336,389
MP Stoinis,88.0,1866.0,1366.0,150.0,91.0,57.0,1272.0,44.0,135.0,390
Ishan Kishan,97.0,2613.0,1966.0,252.0,117.0,0.0,0.0,0.0,0.0,391
C Munro,11.0,177.0,144.0,19.0,8.0,0.0,15.0,0.0,2.0,392
JC Buttler,102.0,3501.0,2468.0,348.0,157.0,0.0,0.0,0.0,0.0,393
P Sahu,2.0,19.0,13.0,1.0,1.0,6.0,120.0,3.0,13.666666666666666,394
KH Pandya,104.0,1582.0,1228.0,139.0,59.0,120.0,2542.0,80.0,351.6666666666667,395
AD Nath,10.0,90.0,99.0,7.0,2.0,0.0,0.0,0.0,0.0,396
MJ Guptill,12.0,271.0,196.0,24.0,15.0,0.0,0.0,0.0,0.0,397
KJ Abbott,2.0,12.0,7.0,0.0,1.0,6.0,114.0,1.0,9.833333333333334,398
TM Head,23.0,764.0,444.0,76.0,40.0,0.0,113.0,3.0,9.666666666666666,399
NS Naik,4.0,31.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,400
RR Pant,106.0,3224.0,2234.0,293.0,150.0,0.0,0.0,0.0,0.0,401
SW Billings,25.0,455.0,363.0,35.0,18.0,0.0,0.0,0.0,0.0,402
KC Cariappa,5.0,24.0,21.0,0.0,2.0,9.0,349.0,8.0,37.333333333333336,403
Swapnil Singh,8.0,41.0,29.0,3.0,3.0,3.0,221.0,6.0,24.5,404
HM Amla,14.0,519.0,361.0,54.0,19.0,0.0,0.0,0.0,0.0,405
F Behardien,2.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,406
N Rana,99.0,2599.0,1977.0,233.0,130.0,6.0,253.0,10.0,30.833333333333332,407
BB Sran,6.0,9.0,13.0,0.0,0.0,48.0,740.0,19.0,82.0,408
S Kaushik,1.0,0.0,1.0,0.0,0.0,12.0,272.0,6.0,31.833333333333332,409
J Yadav,3.0,39.0,33.0,2.0,1.0,10.0,422.0,9.0,62.333333333333336,410
ER Dwivedi,2.0,24.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,411
CJ Jordan,12.0,81.0,81.0,3.0,3.0,77.0,1068.0,34.0,115.33333333333333,412
TS Mills,5.0,8.0,14.0,0.0,1.0,21.0,349.0,11.0,36.333333333333336,413
